%time input output
0 0 0
1e-06 0.0314158748588 0.0458410807138
2e-06 0.0628314396556 0.0915790380664
3e-06 0.0942463843314 0.137110769841
4e-06 0.125660398834 0.182436011673
5e-06 0.157073173118 0.227554506005
6e-06 0.188484397154 0.272466002056
7e-06 0.219893760925 0.31717025579
8e-06 0.251300954433 0.361667029886
9e-06 0.282705667703 0.405956093711
1e-05 0.314107590781 0.450037223285
1.1e-05 0.345506413745 0.493910201255
1.2e-05 0.376901826699 0.537574816863
1.3e-05 0.408293519785 0.581030865916
1.4e-05 0.439681183179 0.624278150757
1.5e-05 0.471064507096 0.667316480235
1.6e-05 0.502443181798 0.710145669671
1.7e-05 0.533816897588 0.752765540833
1.8e-05 0.56518534482 0.795175921906
1.9e-05 0.596548213902 0.837376647457
2e-05 0.627905195293 0.87936755841
2.1e-05 0.659255979514 0.921148502012
2.2e-05 0.690600257144 0.962719331808
2.3e-05 0.721937718829 1.00407990761
2.4e-05 0.753268055279 1.04523009545
2.5e-05 0.784590957278 1.08616976759
2.6e-05 0.815906115682 1.12689880245
2.7e-05 0.847213221421 1.1674170846
2.8e-05 0.878511965507 1.20772450472
2.9e-05 0.909802039036 1.24782095959
3e-05 0.941083133185 1.28770635204
3.1e-05 0.972354939224 1.32738059091
3.2e-05 1.00361714851 1.36684359105
3.3e-05 1.0348694525 1.40609527329
3.4e-05 1.06611154275 1.44513556437
3.5e-05 1.09734311091 1.48396439696
3.6e-05 1.12856384873 1.52258170959
3.7e-05 1.15977344809 1.56098744664
3.8e-05 1.19097160095 1.59918155832
3.9e-05 1.2221579994 1.63716400061
4e-05 1.25333233564 1.67493473527
4.1e-05 1.284494302 1.71249372978
4.2e-05 1.31564359092 1.7498409573
4.3e-05 1.34677989497 1.7869763967
4.4e-05 1.37790290685 1.82390003244
4.5e-05 1.40901231938 1.86061185465
4.6e-05 1.44010782552 1.89711185898
4.7e-05 1.47118911839 1.93340004668
4.8e-05 1.50225589121 1.9694764245
4.9e-05 1.53330783737 2.00534100468
5e-05 1.5643446504 2.04099380494
5.1e-05 1.59536602398 2.07643484843
5.2e-05 1.62637165195 2.11166416368
5.3e-05 1.65736122828 2.14668178464
5.4e-05 1.68833444713 2.18148775056
5.5e-05 1.71929100279 2.21608210605
5.6e-05 1.75023058975 2.25046490099
5.7e-05 1.78115290264 2.2846361905
5.8e-05 1.81205763627 2.31859603497
5.9e-05 1.84294448562 2.35234449995
6e-05 1.87381314586 2.3858816562
6.1e-05 1.90466331231 2.41920757959
6.2e-05 1.93549468051 2.45232235113
6.3e-05 1.96630694615 2.4852260569
6.4e-05 1.99709980514 2.51791878804
6.5e-05 2.02787295357 2.55040064072
6.6e-05 2.0586260877 2.5826717161
6.7e-05 2.08935890402 2.61473212033
6.8e-05 2.12007109922 2.64658196449
6.9e-05 2.15076237017 2.67822136455
7e-05 2.18143241397 2.7096504414
7.1e-05 2.2120809279 2.74086932077
7.2e-05 2.24270760949 2.77187813322
7.3e-05 2.27331215647 2.8026770141
7.4e-05 2.30389426677 2.83326610354
7.5e-05 2.33445363856 2.8636455464
7.6e-05 2.36498997024 2.89381549226
7.7e-05 2.39550296042 2.9237760954
7.8e-05 2.42599230795 2.95352751472
7.9e-05 2.45645771192 2.98306991378
8e-05 2.48689887165 3.01240346074
8.1e-05 2.51731548668 3.0415283283
8.2e-05 2.54770725683 3.07044469374
8.3e-05 2.57807388214 3.09915273883
8.4e-05 2.6084150629 3.12765264984
8.5e-05 2.63873049965 3.15594461751
8.6e-05 2.6690198932 3.18402883698
8.7e-05 2.6992829446 3.21190550783
8.8e-05 2.72951935517 3.23957483399
8.9e-05 2.75972882649 3.26703702375
9e-05 2.78991106039 3.29429228971
9.1e-05 2.820065759 3.32134084879
9.2e-05 2.8501926247 3.34818292213
9.3e-05 2.88029136015 3.37481873515
9.4e-05 2.91036166828 3.40124851746
9.5e-05 2.94040325232 3.42747250286
9.6e-05 2.97041581577 3.45349092929
9.7e-05 3.00039906241 3.47930403883
9.8e-05 3.03035269633 3.50491207766
9.9e-05 3.06027642189 3.53031529604
0.0001 3.09016994375 3.55551394827
0.000101 3.12003296688 3.58050829264
0.000102 3.14986519655 3.60529859149
0.000103 3.17966633832 3.62988511108
0.000104 3.20943609807 3.65426812161
0.000105 3.23917418198 3.67844789721
0.000106 3.26888029655 3.70242471589
0.000107 3.29855414859 3.7261988595
0.000108 3.32819544523 3.74977061373
0.000109 3.35780389393 3.77314026809
0.00011 3.38737920245 3.79630811583
0.000111 3.41692107891 3.81927445398
0.000112 3.44642923175 3.84203958329
0.000113 3.47590336971 3.8646038082
0.000114 3.50534320191 3.88696743681
0.000115 3.53474843779 3.90913078088
0.000116 3.56411878713 3.93109415579
0.000117 3.59345396006 3.9528578805
0.000118 3.62275366705 3.97442227754
0.000119 3.65201761892 3.99578767298
0.00012 3.68124552685 4.0169543964
0.000121 3.71043710237 4.03792278086
0.000122 3.73959205738 4.0586931629
0.000123 3.76871010412 4.07926588249
0.000124 3.79779095522 4.09964128299
0.000125 3.82683432365 4.11981971116
0.000126 3.85583992277 4.13980151712
0.000127 3.88480746631 4.15958705432
0.000128 3.91373666837 4.17917667949
0.000129 3.94262724343 4.19857075269
0.00013 3.97147890635 4.2177696372
0.000131 4.00029137237 4.23677369953
0.000132 4.02906435714 4.2555833094
0.000133 4.05779757666 4.27419883973
0.000134 4.08649074736 4.29262066656
0.000135 4.11514358605 4.31084916909
0.000136 4.14375580993 4.32888472959
0.000137 4.17232713662 4.34672773343
0.000138 4.20085728412 4.36437856904
0.000139 4.22934597085 4.38183762786
0.00014 4.25779291565 4.39910530434
0.000141 4.28619783775 4.41618199592
0.000142 4.31456045681 4.43306810298
0.000143 4.3428804929 4.44976402884
0.000144 4.37115766651 4.46627017971
0.000145 4.39939169856 4.4825869647
0.000146 4.42758231039 4.49871479576
0.000147 4.45572922377 4.51465408768
0.000148 4.4838321609 4.53040525805
0.000149 4.51189084442 4.54596872725
0.00015 4.5399049974 4.56134491843
